trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1382,False,"{'a': 0.002, 'e': 0.06316531132211131}",25,0,-106.13641886373044,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
1383,False,"{'a': 0.002, 'e': 0.0630391069459114}",20,14,-9.213117129943074,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
1384,False,"{'a': 0.002, 'e': 0.06291315472622334}",20,0,-152.73506976441996,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
1385,False,"{'a': 0.002, 'e': 0.06278745415923806}",20,0,-69.08621431191376,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
1386,False,"{'a': 0.002, 'e': 0.06266200474215315}",20,0,-108.42858102037921,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
1387,False,"{'a': 0.002, 'e': 0.06253680597317074}",30,0,-163.73936092117592,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
1388,False,"{'a': 0.002, 'e': 0.06241185735149562}",20,0,-51.81094461919422,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1389,False,"{'a': 0.002, 'e': 0.0622871583773331}",25,0,-75.58412615214375,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
1390,False,"{'a': 0.002, 'e': 0.062162708551887165}",30,3,-137.8411445366127,"{0: 14, 1: 5, 2: 5, 3: 2, 4: 1}",1
1391,False,"{'a': 0.002, 'e': 0.06203850737735829}",20,0,-204.56061533076806,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
1392,False,"{'a': 0.002, 'e': 0.061914554356941674}",25,0,-139.4093227454301,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
1393,False,"{'a': 0.002, 'e': 0.061790848994825016}",25,0,-231.4173954996449,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
